43;HEERENVEERLE;Heeren;Veerle;CD&V;70
106;HELLINGSBENOIT;Hellings;Benoit;Ecolo-Groen;71
160;HUFKENSRENATE;Hufkens;Renate;N-VA;72
44;JADINKATTRIN;Jadin;Kattrin;MR;73
129;JAMBONJAN;Jambon;Jan;N-VA;79
161;JANSSENSDIRK;Janssens;Dirk;Open Vld;74
130;JANSSENWERNER;Janssens;Werner;N-VA;75
45;JIROFLÃ‰EKARIN;Jiroflée;Karin;sp.a;76
107;KHATTABIZAKIA;Khattabi;Zakia;Ecolo-Groen;126
46;KIREMIR;Kir;Emir;PS;77
47;KITIRMERYAME;Kitir;Meryam;sp.a;78
162;KLAPSJOHAN;Klaps;Johan;N-VA;79
48;LAAOUEJAHMED;Laaouej;Ahmed;PS;80
49;LACHAERTEGBERT;Lachaert;Egbert;Open Vld;81
169;LAHAYE-BATTHEUSABIEN;Lahaye-Battheu;Sabien;Open Vld;82
50;LALIEUXKARINE;Lalieux;Karine;PS;83
51;LANJRINAHIMA;Lanjri;Nahima;CD&V;84
52;LIJNENNELE;Lijnen;Nele;Open Vld;85
53;LUTGENBENOÃŽT;Lutgen;Benoit;cdH;86
131;LUYKXPETER;Luykx;Peter;N-VA;87
54;MAILLEUXCAROLINE;Cassart-Mailleux;Caroline;MR;17
55;MAINGAINOLIVIER;Maingain;Olivier;DéFI;88
56;MARGHEMMARIE-CHRISTINE;Marghem;Marie-Christine;MR;93
57;MASSINERIC;Massin;Eric;PS;89
58;MATHOTALAIN;Mathot;Alain;PS;90
59;MATZVANESSA;Matz;Vanessa;cdH;91
132;METSUKOEN;Metsu;Koen;N-VA;92
60;MICHELCHARLES;Michel;Charles;MR;107
163;MILLERRICHARD;Miller;Richard;MR;93
61;MUYLLENATHALIE;Muyllen;Nathalie;CD&V;94
108;NOLLETJEAN-MARC;Nollet;Jean-Marc;Ecolo-Groen;95
62;ONKELINXLAURETTE;Onkelinx;Laurette;PS;96
133;PASBARBARA;Pas;Barbara;VB;98
64;PEHLIVANFATMA;Pehlivan;Fatma;sp.a;99
134;PENRISJAN;Penris;Jan;VB;100
